GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	WT	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000000003	TSPAN6	X	99883667	99894988	-	2968	1.74069311218594	4.66005514768219	1.32887113301038e-14	2.68533078628216e-13	5.60313577472372	18.729955152506	1.57916446043167	8.48463271131006	Tetraspanins	tetraspanin 6	NM_001278740	Y	Y	N	N	N	N	N	2.47571684950951	5.39790455587598	32.6680930363439	52.8607592494139	9.47064333620454
ENSG00000000005	TNMD	X	99839799	99854882	+	1610	1.45782303833175	-1.09507341472548	0.000207971857202318	0.000848764407415839	0.164246133449442	0.459861544279856	0.326435457107729	0.229137321192703	BRICHOS domain containing	tenomodulin	NM_022144	Y	Y	N	N	N	N	N	0.0541390802803153	0.392740467071373	0.152105758952762	0	0.00799304081682377
ENSG00000001461	NIPAL3	1	24742284	24799466	+	9404	-1.71233904321498	5.43807920719587	1.90525402129928e-07	1.37395568308669e-06	5.4283181110912	1.65614260631968	-1.27510871785123	4.60027958565355	NULL	NIPA like domain containing 3	NM_020448	Y	Y	N	N	N	N	N	19.9523538239385	3.91469860100074	4.82266144065072	0.52590060893546	3.14243897213055
ENSG00000001561	ENPP4	6	46097730	46114436	+	4651	-1.63769602297437	4.72150681016269	5.28822028631877e-19	1.58911589455203e-17	6.64342991538357	2.13278174386177	-1.28677591619104	5.65328763383	NULL	ectonucleotide pyrophosphatase/phosphodiesterase 4	NM_014936	Y	Y	N	N	N	N	N	11.9379657278456	13.0030287540518	14.2426623412539	7.27946803761146	12.7526011325985
ENSG00000001626	CFTR	7	117105838	117356025	+	8099	-7.58289031875952	5.05058739724319	8.17626277451401e-12	1.17499279495741e-10	5.22449741490282	0.0265347857942134	-2.60017483790762	4.08348122802532	Chloride channels, ATP-gated CFTR;ATP binding cassette subfamily C	cystic fibrosis transmembrane conductance regulator	NM_000492	Y	Y	N	N	N	N	N	0.0738135556260495	0.104533421958506	0.920189883314625	0.6565455773386	1.89556597545808
ENSG00000001630	CYP51A1	7	91741465	91772266	-	4074	-0.166336935215619	5.95963855032867	0.508698514612827	0.782234415646573	15.6269263825893	13.9243213885055	-0.155856166421615	15.2531838229124	Cytochrome P450 family 51	cytochrome P450 family 51 subfamily A member 1	NM_000786	Y	Y	N	N	N	N	N	26.8826935457369	9.3584245942616	20.9362204339758	87.7231679128013	19.0174196409273
ENSG00000002586	CD99	X	2609220	2659350	+	3284	-0.385682211092011	5.26245755144208	0.087960552009187	0.187002510757352	12.2930700356012	9.40892941935403	-0.352852641633657	11.6599659978884	Blood group antigens;CD molecules;Pseudoautosomal region 1	CD99 molecule (Xg blood group)	NM_001122898	Y	Y	N	N	Y	N	Y	4.3437040123055	25.0153739428883	8.84515390310944	23.235036263542	28.6676014308198
ENSG00000002933	TMEM176A	7	150497491	150502208	+	3479	-2.48896783361869	4.43157366736225	1.24472286835296e-06	7.75837377477084e-06	7.53744091413916	1.34102330643121	-1.86666439134143	6.17725168317888	Membrane spanning 4-domains	transmembrane protein 176A	NM_018487	Y	Y	N	N	N	N	N	0.658268157588709	6.72756262329606	66.4849950850106	140.569061127634	9.12034400858424
ENSG00000003056	M6PR	12	9092959	9102551	-	3777	0.0515759025751942	5.60265655079902	0.591459695734449	0.879009848918072	12.7389552470561	13.2012670642477	0.0477473541842457	12.8404383288786	MRH domain containing 	mannose-6-phosphate receptor, cation dependent	NM_001207024	Y	Y	N	N	N	Y	N	19.8233891110706	31.4464136748604	31.8999108753309	26.5440906659185	33.4328994942709
ENSG00000003436	TFPI	2	188328957	188430487	-	11714	-2.6474468213653	5.84012939010631	7.33382654475755e-11	9.20201367560771e-10	5.98743237204237	0.955095706919318	-1.83752318201851	4.88277310408853	NULL	tissue factor pathway inhibitor	NM_006287	Y	Y	N	N	N	N	Y	0.174379640312248	3.26479487924386	3.93038777904591	23.086150886723	25.3885462235317
ENSG00000003989	SLC7A2	8	17354597	17428082	+	7905	-1.6178374264922	6.88073111092846	0.000222084428918132	0.000900626398171379	17.4843566986993	5.69612601147973	-1.46490625233939	14.8966963039438	Solute carriers	solute carrier family 7 member 2	NM_003046	Y	Y	N	N	N	N	N	1.56774954604296	6.84014787708819	3.2208625395084	76.508054118148	8.80614605270302
